tf,df,tdf,indegree,outdegree,Degree,weighted-indegree,weighted-outdegree,Weighted-Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,stopword
159,158,25122,10,77,87,159,159,318,7,0.407747,0.427996,0.000332,No
42,41,1722,21,28,49,42,42,84,8,0.362664,0.379916,0.000332,No
134,127,17018,29,49,78,134,134,268,7,0.406698,0.42688,0.000332,No
127,121,15367,12,57,69,127,127,254,7,0.409961,0.430129,0.000331,No
52,51,2652,16,31,47,52,52,104,7,0.400408,0.420018,0.000331,No
98,95,9310,21,45,66,98,98,196,7,0.399845,0.419743,0.00033,No
96,96,9216,23,45,68,96,96,192,7,0.402572,0.422627,0.00033,No
52,51,2652,9,30,39,52,52,104,7,0.394986,0.414854,0.000328,No
56,56,3136,40,31,71,56,56,112,7,0.378538,0.397055,0.000328,No
57,56,3192,45,15,60,57,57,114,8,0.35758,0.372658,0.000327,No
103,103,10609,52,44,96,103,103,206,7,0.385962,0.405025,0.000327,No
43,41,1763,23,24,47,43,43,86,8,0.326971,0.335609,0.000326,No
105,100,10500,5,50,55,105,105,210,7,0.396068,0.415754,0.000326,No
52,47,2444,21,4,25,52,52,104,8,0.322955,0.330405,0.000325,No
31,31,961,17,19,36,31,31,62,7,0.353023,0.367816,0.000325,No
105,93,9765,19,45,64,105,105,210,7,0.393202,0.41306,0.000325,No
62,57,3534,26,39,65,62,62,124,7,0.401709,0.421402,0.000323,No
101,98,9898,48,37,85,101,101,202,7,0.402743,0.422376,0.000323,No
73,67,4891,43,22,65,73,73,146,8,0.328818,0.33854,0.000322,No
80,77,6160,20,48,68,80,80,160,7,0.403114,0.423168,0.000322,No
