Source, Target, Type, Weight
1006, 464, Directed, 1.0
464, 49, Directed, 1.0
49, 826, Directed, 1.0
826, 128, Directed, 1.0
128, 6462, Directed, 1.0
6462, 77, Directed, 1.0
77, 85, Directed, 1.0
85, 60, Directed, 1.0
60, 37, Directed, 1.0
37, 24, Directed, 1.0
24, 6465, Directed, 1.0
6465, 47, Directed, 1.0
47, 61, Directed, 1.0
61, 388, Directed, 1.0
388, 91, Directed, 1.0
91, 114, Directed, 1.0
114, 84, Directed, 1.0
84, 60, Directed, 1.0
60, 430, Directed, 1.0
430, 556, Directed, 1.0
556, 6466, Directed, 1.0
6466, 1716, Directed, 1.0
1716, 47, Directed, 1.0
47, 114, Directed, 1.0
114, 171, Directed, 1.0
171, 84, Directed, 1.0
84, 60, Directed, 1.0
60, 2968, Directed, 1.0
2968, 294, Directed, 1.0
294, 726, Directed, 1.0
726, 1573, Directed, 1.0
1573, 2995, Directed, 1.0
2995, 5289, Directed, 1.0
5289, 77, Directed, 1.0
77, 3288, Directed, 1.0
3288, 625, Directed, 1.0
625, 60, Directed, 1.0
60, 52, Directed, 1.0
52, 103, Directed, 1.0
103, 49, Directed, 1.0
49, 2805, Directed, 1.0
2805, 202, Directed, 1.0
202, 100, Directed, 1.0
100, 4, Directed, 1.0
4, 388, Directed, 1.0
388, 726, Directed, 1.0
726, 685, Directed, 1.0
685, 1573, Directed, 1.0
1573, 2995, Directed, 1.0
2995, 5289, Directed, 1.0
5289, 77, Directed, 1.0
77, 796, Directed, 1.0
796, 84, Directed, 1.0
84, 60, Directed, 1.0
60, 105, Directed, 1.0
105, 4, Directed, 1.0
4, 47, Directed, 1.0
47, 2991, Directed, 1.0
2991, 111, Directed, 1.0
111, 835, Directed, 1.0
835, 103, Directed, 1.0
103, 2805, Directed, 1.0
2805, 511, Directed, 1.0
511, 288, Directed, 1.0
288, 938, Directed, 1.0
938, 99, Directed, 1.0
99, 4178, Directed, 1.0
4178, 60, Directed, 1.0
60, 52, Directed, 1.0
52, 103, Directed, 1.0
103, 221, Directed, 1.0
221, 461, Directed, 1.0
461, 1256, Directed, 1.0
1256, 1969, Directed, 1.0
1969, 2532, Directed, 1.0
2532, 47, Directed, 1.0
47, 1968, Directed, 1.0
1968, 48, Directed, 1.0
48, 1243, Directed, 1.0
1243, 60, Directed, 1.0
60, 604, Directed, 1.0
604, 233, Directed, 1.0
233, 302, Directed, 1.0
302, 49, Directed, 1.0
49, 42, Directed, 1.0
42, 1718, Directed, 1.0
1718, 202, Directed, 1.0
202, 1068, Directed, 1.0
1068, 124, Directed, 1.0
124, 3143, Directed, 1.0
3143, 934, Directed, 1.0
934, 6446, Directed, 1.0
6446, 77, Directed, 1.0
77, 2221, Directed, 1.0
2221, 2315, Directed, 1.0
2315, 3, Directed, 1.0
3, 905, Directed, 1.0
905, 100, Directed, 1.0
100, 31, Directed, 1.0
31, 62, Directed, 1.0
62, 2908, Directed, 1.0
2908, 6458, Directed, 1.0
6458, 3484, Directed, 1.0
3484, 47, Directed, 1.0
47, 5847, Directed, 1.0
5847, 221, Directed, 1.0
221, 1256, Directed, 1.0
1256, 45, Directed, 1.0
45, 61, Directed, 1.0
61, 48, Directed, 1.0
48, 113, Directed, 1.0
113, 1482, Directed, 1.0
1482, 461, Directed, 1.0
461, 1744, Directed, 1.0
1744, 192, Directed, 1.0
192, 99, Directed, 1.0
99, 28, Directed, 1.0
28, 2778, Directed, 1.0
2778, 62, Directed, 1.0
62, 6459, Directed, 1.0
6459, 61, Directed, 1.0
61, 60, Directed, 1.0
60, 3143, Directed, 1.0
3143, 91, Directed, 1.0
91, 215, Directed, 1.0
215, 97, Directed, 1.0
97, 113, Directed, 1.0
113, 1243, Directed, 1.0
1243, 461, Directed, 1.0
461, 511, Directed, 1.0
511, 4178, Directed, 1.0
4178, 214, Directed, 1.0
214, 637, Directed, 1.0
637, 1738, Directed, 1.0
1738, 60, Directed, 1.0
60, 6459, Directed, 1.0
6459, 612, Directed, 1.0
612, 710, Directed, 1.0
710, 1285, Directed, 1.0
1285, 62, Directed, 1.0
62, 606, Directed, 1.0
606, 364, Directed, 1.0
364, 103, Directed, 1.0
103, 2805, Directed, 1.0
2805, 815, Directed, 1.0
815, 2990, Directed, 1.0
2990, 62, Directed, 1.0
62, 1641, Directed, 1.0
1641, 47, Directed, 1.0
47, 2989, Directed, 1.0
2989, 2610, Directed, 1.0
2610, 5289, Directed, 1.0
5289, 349, Directed, 1.0
349, 553, Directed, 1.0
553, 265, Directed, 1.0
265, 1354, Directed, 1.0
1354, 135, Directed, 1.0
135, 100, Directed, 1.0
100, 60, Directed, 1.0
60, 971, Directed, 1.0
971, 97, Directed, 1.0
97, 625, Directed, 1.0
625, 165, Directed, 1.0
165, 620, Directed, 1.0
620, 2995, Directed, 1.0
2995, 111, Directed, 1.0
111, 77, Directed, 1.0
77, 620, Directed, 1.0
620, 6453, Directed, 1.0
6453, 60, Directed, 1.0
60, 1754, Directed, 1.0
1754, 103, Directed, 1.0
103, 47, Directed, 1.0
47, 620, Directed, 1.0
620, 625, Directed, 1.0
625, 60, Directed, 1.0
60, 6455, Directed, 1.0
6455, 227, Directed, 1.0
227, 114, Directed, 1.0
114, 49, Directed, 1.0
49, 1573, Directed, 1.0
1573, 2995, Directed, 1.0
2995, 5289, Directed, 1.0
5289, 5925, Directed, 1.0
5925, 1006, Directed, 1.0
1006, 77, Directed, 1.0
77, 625, Directed, 1.0
625, 60, Directed, 1.0
60, 6455, Directed, 1.0
6455, 74, Directed, 1.0
74, 833, Directed, 1.0
833, 114, Directed, 1.0
114, 49, Directed, 1.0
49, 6187, Directed, 1.0
6187, 6192, Directed, 1.0
6192, 265, Directed, 1.0
265, 24, Directed, 1.0
24, 3830, Directed, 1.0
3830, 77, Directed, 1.0
77, 178, Directed, 1.0
178, 49, Directed, 1.0
49, 103, Directed, 1.0
103, 60, Directed, 1.0
60, 233, Directed, 1.0
233, 2805, Directed, 1.0
2805, 233, Directed, 1.0
233, 114, Directed, 1.0
114, 1368, Directed, 1.0
1368, 4178, Directed, 1.0
4178, 99, Directed, 1.0
99, 938, Directed, 1.0
938, 934, Directed, 1.0
934, 956, Directed, 1.0
956, 77, Directed, 1.0
77, 221, Directed, 1.0
221, 288, Directed, 1.0
288, 60, Directed, 1.0
60, 103, Directed, 1.0
103, 60, Directed, 1.0
60, 233, Directed, 1.0
233, 2805, Directed, 1.0
2805, 61, Directed, 1.0
61, 5925, Directed, 1.0
5925, 1006, Directed, 1.0
1006, 77, Directed, 1.0
77, 2995, Directed, 1.0
2995, 60, Directed, 1.0
60, 6455, Directed, 1.0
6455, 74, Directed, 1.0
74, 833, Directed, 1.0
833, 114, Directed, 1.0
114, 154, Directed, 1.0
154, 6455, Directed, 1.0
6455, 469, Directed, 1.0
469, 1843, Directed, 1.0
1843, 60, Directed, 1.0
60, 6187, Directed, 1.0
6187, 6192, Directed, 1.0
6192, 265, Directed, 1.0
265, 24, Directed, 1.0
24, 60, Directed, 1.0
60, 6455, Directed, 1.0
6455, 9, Directed, 1.0
9, 84, Directed, 1.0
84, 60, Directed, 1.0
60, 430, Directed, 1.0
430, 6456, Directed, 1.0
6456, 418, Directed, 1.0
418, 2039, Directed, 1.0
2039, 795, Directed, 1.0
795, 6452, Directed, 1.0
6452, 60, Directed, 1.0
60, 103, Directed, 1.0
103, 9, Directed, 1.0
9, 84, Directed, 1.0
84, 60, Directed, 1.0
60, 430, Directed, 1.0
430, 6454, Directed, 1.0
6454, 1139, Directed, 1.0
1139, 418, Directed, 1.0
418, 6379, Directed, 1.0
6379, 620, Directed, 1.0
620, 2995, Directed, 1.0
2995, 91, Directed, 1.0
91, 9, Directed, 1.0
9, 178, Directed, 1.0
178, 49, Directed, 1.0
49, 103, Directed, 1.0
103, 62, Directed, 1.0
62, 6455, Directed, 1.0
6455, 60, Directed, 1.0
60, 4938, Directed, 1.0
4938, 2805, Directed, 1.0
2805, 6450, Directed, 1.0
6450, 6451, Directed, 1.0
6451, 114, Directed, 1.0
114, 106, Directed, 1.0
106, 154, Directed, 1.0
154, 247, Directed, 1.0
247, 114, Directed, 1.0
114, 791, Directed, 1.0
791, 349, Directed, 1.0
349, 6457, Directed, 1.0
6457, 335, Directed, 1.0
335, 2224, Directed, 1.0
2224, 942, Directed, 1.0
942, 9, Directed, 1.0
9, 135, Directed, 1.0
135, 45, Directed, 1.0
45, 97, Directed, 1.0
97, 1573, Directed, 1.0
1573, 91, Directed, 1.0
91, 60, Directed, 1.0
60, 103, Directed, 1.0
103, 84, Directed, 1.0
84, 106, Directed, 1.0
106, 9, Directed, 1.0
9, 584, Directed, 1.0
584, 208, Directed, 1.0
208, 47, Directed, 1.0
47, 154, Directed, 1.0
154, 114, Directed, 1.0
114, 60, Directed, 1.0
60, 584, Directed, 1.0
584, 91, Directed, 1.0
91, 60, Directed, 1.0
60, 1762, Directed, 1.0
1762, 1113, Directed, 1.0
1113, 45, Directed, 1.0
45, 106, Directed, 1.0
106, 154, Directed, 1.0
154, 1073, Directed, 1.0
1073, 77, Directed, 1.0
77, 2995, Directed, 1.0
2995, 628, Directed, 1.0
628, 39, Directed, 1.0
39, 49, Directed, 1.0
49, 430, Directed, 1.0
430, 265, Directed, 1.0
265, 2695, Directed, 1.0
2695, 2238, Directed, 1.0
2238, 103, Directed, 1.0
103, 103, Directed, 1.0
103, 2805, Directed, 1.0
2805, 221, Directed, 1.0
221, 335, Directed, 1.0
335, 2328, Directed, 1.0
2328, 1296, Directed, 1.0
1296, 44, Directed, 1.0
44, 100, Directed, 1.0
100, 60, Directed, 1.0
60, 32, Directed, 1.0
32, 5891, Directed, 1.0
5891, 103, Directed, 1.0
103, 1089, Directed, 1.0
1089, 10, Directed, 1.0
10, 2845, Directed, 1.0
2845, 62, Directed, 1.0
62, 2864, Directed, 1.0
2864, 934, Directed, 1.0
934, 956, Directed, 1.0
956, 60, Directed, 1.0
60, 103, Directed, 1.0
103, 202, Directed, 1.0
202, 60, Directed, 1.0
60, 233, Directed, 1.0
233, 6447, Directed, 1.0
6447, 82, Directed, 1.0
82, 6449, Directed, 1.0
6449, 91, Directed, 1.0
91, 1296, Directed, 1.0
1296, 44, Directed, 1.0
44, 156, Directed, 1.0
156, 360, Directed, 1.0
360, 85, Directed, 1.0
85, 1553, Directed, 1.0
1553, 62, Directed, 1.0
62, 3148, Directed, 1.0
3148, 143, Directed, 1.0
143, 815, Directed, 1.0
815, 61, Directed, 1.0
61, 143, Directed, 1.0
143, 37, Directed, 1.0
37, 1703, Directed, 1.0
1703, 681, Directed, 1.0
681, 929, Directed, 1.0
929, 218, Directed, 1.0
218, 1564, Directed, 1.0
1564, 547, Directed, 1.0
547, 6448, Directed, 1.0
6448, 60, Directed, 1.0
60, 105, Directed, 1.0
105, 2845, Directed, 1.0
2845, 221, Directed, 1.0
221, 227, Directed, 1.0
227, 5893, Directed, 1.0
5893, 4179, Directed, 1.0
4179, 934, Directed, 1.0
934, 6446, Directed, 1.0
6446, 77, Directed, 1.0
77, 288, Directed, 1.0
288, 39, Directed, 1.0
39, 60, Directed, 1.0
60, 938, Directed, 1.0
938, 2271, Directed, 1.0
2271, 236, Directed, 1.0
236, 1202, Directed, 1.0
1202, 938, Directed, 1.0
938, 4334, Directed, 1.0
4334, 685, Directed, 1.0
685, 62, Directed, 1.0
62, 154, Directed, 1.0
154, 6, Directed, 1.0
6, 77, Directed, 1.0
77, 74, Directed, 1.0
74, 42, Directed, 1.0
42, 91, Directed, 1.0
91, 83, Directed, 1.0
83, 84, Directed, 1.0
84, 60, Directed, 1.0
60, 52, Directed, 1.0
52, 103, Directed, 1.0
103, 77, Directed, 1.0
77, 173, Directed, 1.0
173, 84, Directed, 1.0
84, 60, Directed, 1.0
60, 61, Directed, 1.0
61, 9, Directed, 1.0
9, 606, Directed, 1.0
606, 99, Directed, 1.0
99, 60, Directed, 1.0
60, 61, Directed, 1.0
61, 9, Directed, 1.0
9, 4338, Directed, 1.0
4338, 2839, Directed, 1.0
2839, 103, Directed, 1.0
103, 2805, Directed, 1.0
2805, 676, Directed, 1.0
676, 24, Directed, 1.0
24, 706, Directed, 1.0
706, 553, Directed, 1.0
553, 688, Directed, 1.0
688, 137, Directed, 1.0
137, 6114, Directed, 1.0
6114, 2145, Directed, 1.0
2145, 106, Directed, 1.0
106, 483, Directed, 1.0
483, 875, Directed, 1.0
875, 6440, Directed, 1.0
6440, 630, Directed, 1.0
630, 6434, Directed, 1.0
6434, 66, Directed, 1.0
66, 641, Directed, 1.0
641, 6442, Directed, 1.0
6442, 6443, Directed, 1.0
6443, 2942, Directed, 1.0
2942, 2939, Directed, 1.0
2939, 60, Directed, 1.0
60, 804, Directed, 1.0
804, 2315, Directed, 1.0
2315, 676, Directed, 1.0
676, 6356, Directed, 1.0
6356, 6290, Directed, 1.0
6290, 6354, Directed, 1.0
