id,Label,tf,df,tdf
726,sarmento,18,1,18
727,aproveita,18,1,18
728,cefobom,11,1,11
729,avaliasaun,4,1,4
730,turiskai,14,1,14
731,didi'ak,3,1,3
732,doutel,2,1,2
733,relatóriu,7,1,7
734,katólika,23,1,23
735,abertura,20,1,20
736,manufahi,172,1,172
737,dom,27,1,27
738,sira-nia,229,1,229
739,desportu,30,1,30
740,matéria,10,1,10
741,solusaun,22,1,22
742,maun-fahe,2,1,2
743,boaventura,7,1,7
744,na'in-,9,1,9
745,buka,60,1,60
746,problema,71,1,71
747,kompostu,52,1,52
748,proposta,23,1,23
749,kreatividade,12,1,12
750,husu,291,1,291
751,costa,50,1,50
752,foinsa'e,13,1,13
753,eskola,107,1,107
754,totál,115,1,115
755,sekundária,15,1,15
756,loro-loron,31,1,31
757,jerente,1,1,1
758,orsamentu,95,1,95
759,eleitu,7,1,7
760,joventude,4,1,4
761,salaun,16,1,16
762,importante,51,1,51
763,aplika,38,1,38
764,antoninho,3,1,3
765,da,116,1,116
766,fila,56,1,56
767,tolu,59,1,59
768,re-entry,3,1,3
769,neen,23,1,23
770,kontratu,24,1,24
771,entervista,1,1,1
772,filomenu,1,1,1
773,tanbá,1,1,1
774,alerta,6,1,6
775,rua-nulu-resin,2,1,2
776,fasíl,1,1,1
777,sia,2,1,2
778,peskas,3,1,3
779,sanulu-resin-haat,3,1,3
780,remata,60,1,60
781,nulu-resin-neen,1,1,1
782,korea,53,1,53
783,nulu-resin-rua,1,1,1
784,komportamentu,5,1,5
785,esplika,143,1,143
786,atus-rua-tolu,1,1,1
787,sees-an,1,1,1
788,atus-ida-lima,1,1,1
789,hitu-nulu-resin,1,1,1
790,kontrola,32,1,32
791,sefope-dnee,1,1,1
792,fábrika,10,1,10
793,súl,46,1,46
794,atensaun,36,1,36
795,silva,37,1,37
796,estudante,180,1,180
797,aat,39,1,39
798,voluntáriu,7,1,7
799,baukau,60,1,60
800,báziku,12,1,12
801,alunu,5,1,5
802,odamatan,5,1,5
803,ajudu,4,1,4
804,ebf,5,1,5
805,rezultadu,48,1,48
806,bahasahe,4,1,4
807,sala,35,1,35
808,menus,45,1,45
809,antigu,3,1,3
810,manual,1,1,1
811,untaet,2,1,2
812,aprendizajen,10,1,10
813,knaar-fatin,35,1,35
814,manorin,5,1,5
815,kadeira,5,1,5
816,rekursu,25,1,25
817,profesór,12,1,12
818,lokaliza,9,1,9
819,kompletu,21,1,21
820,janela,2,1,2
821,filiál,2,1,2
822,ensinu,69,1,69
