Source, Target,Type,Weight
aplikasaun, vasina,Directed,1
vasina, astrazeneca,Directed,1
astrazeneca, enkuantu,Directed,1
enkuantu, primeiru-ministru,Directed,1
primeiru-ministru, tailándia,Directed,1
tailándia, prayut,Directed,1
prayut, chan-o-cha,Directed,1
chan-o-cha, ohin,Directed,1
ohin, kansela,Directed,1
kansela, mós,Directed,1
mós, planu,Directed,1
planu, atu,Directed,1
atu, simu,Directed,1
simu, vasinasaun,Directed,1
vasinasaun, kontra,Directed,1
kontra, covid,Directed,1
covid, ho,Directed,1
ho, vasina,Directed,1
vasina, astrazeneca,Directed,1
astrazeneca, tanba,Directed,1
tanba, haree,Directed,1
haree, ba,Directed,1
ba, kazu,Directed,1
kazu, efeitu,Directed,1
efeitu, kolaterál,Directed,1
kolaterál, ne’ebé,Directed,1
ne’ebé, mosu,Directed,1
mosu, iha,Directed,1
iha, europa,Directed,1
europa, maibé,Directed,1
maibé, austrália,Directed,1
austrália, no,Directed,1
no, méxiko,Directed,1
méxiko, enfatiza,Directed,1
enfatiza, atu,Directed,1
atu, kontinua,Directed,1
kontinua, uza,Directed,1
uza, vasina,Directed,1
vasina, astrazeneca,Directed,1
astrazeneca, kontra,Directed,1
kontra, covid,Directed,1
covid, tanba,Directed,1
tanba, seidauk,Directed,1
seidauk, iha,Directed,1
iha, evidénsia,Directed,1
evidénsia, katak,Directed,1
katak, kazu,Directed,1
kazu, konjelamentu,Directed,1
konjelamentu, raan,Directed,1
raan, ne’e,Directed,1
ne’e, impaktu,Directed,1
impaktu, hosi,Directed,1
hosi, vasina,Directed,1
vasina, astrazeneca,Directed,1
astrazeneca, dili,Directed,1
dili, marsu,Directed,1
marsu, ministériu,Directed,1
ministériu, saúde,Directed,1
saúde, ms,Directed,1
ms, rejista,Directed,1
rejista, tán,Directed,1
tán, kazu,Directed,1
kazu, pozitivu,Directed,1
pozitivu, covid,Directed,1
covid, hamutuk,Directed,1
hamutuk, na’in,Directed,1
na’in, iha,Directed,1
iha, munisípiu,Directed,1
munisípiu, dili,Directed,1
dili, tuir,Directed,1
tuir, informasaun,Directed,1
informasaun, ne’ebé,Directed,1
ne’ebé, koordenadór,Directed,1
koordenadór, forsa-tarefa,Directed,1
forsa-tarefa, ba,Directed,1
ba, prevensaun,Directed,1
prevensaun, no,Directed,1
no, mitigasaun,Directed,1
mitigasaun, surtu,Directed,1
surtu, covid,Directed,1
covid, rui,Directed,1
rui, maria,Directed,1
maria, de,Directed,1
de, araújo,Directed,1
araújo, informa,Directed,1
informa, ohin,Directed,1
ohin, iha,Directed,1
iha, ccd,Directed,1
ccd, dili,Directed,1
dili, nia,Directed,1
nia, esplika,Directed,1
esplika, kazu,Directed,1
kazu, ne’e,Directed,1
ne’e, ida,Directed,1
ida, mai,Directed,1
mai, hosi,Directed,1
hosi, aldeia,Directed,1
aldeia, de,Directed,1
de, setembro,Directed,1
setembro, suku,Directed,1
suku, komoro,Directed,1
komoro, haat,Directed,1
haat, hosi,Directed,1
hosi, aldeia,Directed,1
aldeia, frekat,Directed,1
frekat, suku,Directed,1
suku, bairu-pité,Directed,1
bairu-pité, haat,Directed,1
haat, mós,Directed,1
mós, mai,Directed,1
mai, hosi,Directed,1
hosi, profisionál,Directed,1
profisionál, saúde,Directed,1
saúde, ne’ebé,Directed,1
ne’ebé, halo,Directed,1
halo, formasaun,Directed,1
formasaun, emergency,Directed,1
emergency, obstetrics,Directed,1
obstetrics, and,Directed,1
and, neonatal,Directed,1
neonatal, care,Directed,1
care, emonc,Directed,1
emonc, iha,Directed,1
iha, óspital,Directed,1
óspital, nasionál,Directed,1
nasionál, guido,Directed,1
guido, valadares,Directed,1
valadares, sigla,Directed,1
sigla, portugés,Directed,1
portugés, hngv,Directed,1
hngv, no,Directed,1
no, rua,Directed,1
rua, mai,Directed,1
mai, hosi,Directed,1
hosi, rezultadu,Directed,1
rezultadu, vijilánsia,Directed,1
vijilánsia, sentinela,Directed,1
sentinela, ne’ebé,Directed,1
ne’ebé, halo,Directed,1
halo, iha,Directed,1
iha, sentru,Directed,1
sentru, saúde,Directed,1
saúde, formoza,Directed,1
formoza, no,Directed,1
no, sira,Directed,1
sira, na’in,Directed,1
na’in, ne’e,Directed,1
ne’e, ida,Directed,1
ida, hela,Directed,1
hela, iha,Directed,1
iha, aldeia,Directed,1
aldeia, mate,Directed,1
mate, restu,Directed,1
restu, vila-verde,Directed,1
vila-verde, no,Directed,1
no, ida,Directed,1
ida, seluk,Directed,1
seluk, hela,Directed,1
hela, iha,Directed,1
iha, fatuhada,Directed,1
fatuhada, nune’e,Directed,1
nune’e, totál,Directed,1
totál, pasiente,Directed,1
pasiente, pozitivu,Directed,1
pozitivu, covid,Directed,1
covid, ne’ebé,Directed,1
ne’ebé, ms,Directed,1
ms, rejista,Directed,1
rejista, iha,Directed,1
iha, munisípiu,Directed,1
munisípiu, dili,Directed,1
dili, hosi,Directed,1
hosi, marsu,Directed,1
marsu, to’o,Directed,1
to’o, ohin,Directed,1
ohin, hamutuk,Directed,1
hamutuk, na’in,Directed,1
na’in, totál,Directed,1
totál, jerál,Directed,1
jerál, pasiente,Directed,1
pasiente, pozitivu,Directed,1
pozitivu, covid,Directed,1
covid, ne’ebé,Directed,1
ne’ebé, ativu,Directed,1
ativu, hela,Directed,1
hela, iha,Directed,1
iha, timor-leste,Directed,1
timor-leste, hamutuk,Directed,1
hamutuk, no,Directed,1
no, rekuperadu,Directed,1
rekuperadu, foun,Directed,1
foun, laiha,Directed,1
laiha, dili,Directed,1
dili, marsu,Directed,1
marsu, durante,Directed,1
durante, implementa,Directed,1
implementa, konfinamentu,Directed,1
konfinamentu, ka,Directed,1
ka, lockdown,Directed,1
lockdown, iha,Directed,1
iha, munisípiu,Directed,1
munisípiu, dili,Directed,1
dili, governu,Directed,1
governu, nafatin,Directed,1
nafatin, autoriza,Directed,1
autoriza, merkadu,Directed,1
merkadu, taibesi,Directed,1
taibesi, no,Directed,1
no, manleuana,Directed,1
manleuana, atu,Directed,1
atu, loke,Directed,1
loke, iha,Directed,1
iha, tempu,Directed,1
tempu, loron,Directed,1
loron, hahú,Directed,1
hahú, hosi,Directed,1
hosi, oras,Directed,1
oras, dadeer,Directed,1
dadeer, to’o,Directed,1
to’o, loro-kraik,Directed,1
loro-kraik, tuir,Directed,1
tuir, regra,Directed,1
regra, serka,Directed,1
serka, sanitaria,Directed,1
sanitaria, ne’ebé,Directed,1
ne’ebé, mídia,Directed,1
mídia, gabinete,Directed,1
gabinete, primeiru-ministru,Directed,1
primeiru-ministru, divulga,Directed,1
divulga, ohin,Directed,1
ohin, enkuantu,Directed,1
enkuantu, ba,Directed,1
ba, vendedór,Directed,1
vendedór, tiga,Directed,1
tiga, roda,Directed,1
roda, no,Directed,1
no, ai-leba,Directed,1
ai-leba, governu,Directed,1
governu, autoriza,Directed,1
autoriza, mós,Directed,1
mós, sira,Directed,1
sira, atu,Directed,1
atu, bele,Directed,1
bele, fa’an,Directed,1
fa’an, nafatin,Directed,1
nafatin, ai-hán,Directed,1
ai-hán, sasán,Directed,1
sasán, ka,Directed,1
ka, servisu,Directed,1
servisu, esensiál,Directed,1
esensiál, ba,Directed,1
ba, restaurante,Directed,1
restaurante, sira,Directed,1
sira, iha,Directed,1
iha, regra,Directed,1
