dadeer, to’o
to’o, loro-kraik
loro-kraik, tuir
tuir, regra
regra, serka
serka, sanitaria
sanitaria, ne’ebé
ne’ebé, mídia
mídia, gabinete
gabinete, primeiru-ministru
primeiru-ministru, divulga
divulga, ohin
ohin, enkuantu
enkuantu, ba
ba, vendedór
vendedór, tiga
tiga, roda
roda, no
no, ai-leba
ai-leba, governu
governu, autoriza
autoriza, mós
mós, sira
sira, atu
atu, bele
bele, fa’an
fa’an, nafatin
nafatin, ai-hán
ai-hán, sasán
sasán, ka
ka, servisu
servisu, esensiál
esensiál, ba
ba, restaurante
restaurante, sira
sira, iha
iha, regra
regra, ne’e
ne’e, haktuir
haktuir, katak
katak, bele
bele, loke
loke, nafatin
nafatin, durante
durante, lockdown
lockdown, maibé
maibé, labele
labele, hán
hán, iha
iha, restaurante
restaurante, tenke
tenke, lori
lori, hahán
hahán, ba
ba, uma
uma, de’it
de’it, dili
dili, marsu
marsu, koordenadór
koordenadór, forsa-tarefa
forsa-tarefa, ba
ba, prevensaun
prevensaun, no
no, mitigasaun
mitigasaun, surtu
surtu, covid
covid, rui
rui, maria
maria, de
de, araújo
araújo, informa
informa, ohin
ohin, iha
iha, ccd
ccd, katak
katak, rejista
rejista, tan
tan, kazu
kazu, pozitivu
pozitivu, foun
foun, ne’ebé
ne’ebé, kazu
kazu, rezjista
rezjista, iha
iha, kapitál
kapitál, dili
dili, no
no, kazu
kazu, rejista
rejista, iha
iha, baucau
baucau, nian
nian, ida
ida, hosi
hosi, pasiente
pasiente, pozitivu
pozitivu, covid
covid, nain
nain, rua
rua, ne’ebé
ne’ebé, rejista
rejista, iha
iha, baucau
baucau, mak
mak, estudante
estudante, ida
ida, hosi
hosi, instituto
instituto, ciências
ciências, de
de, saúde
saúde, ics
ics, ne’ebé
ne’ebé, sai
sai, hosi
hosi, dili
dili, iha
iha, loron
loron, marsu
marsu, loron
loron, ida
ida, antes
antes, lockdown
lockdown, ka
ka, konfinamentu
konfinamentu, serka
serka, sanitária
sanitária, ne’ebé
ne’ebé, governu
governu, implementa
implementa, iha
iha, dili
dili, iha
iha, loron
loron, marsu
marsu, sira
sira, nain
nain, rua
rua, ne’ebé
ne’ebé, pozitivu
pozitivu, iha
iha, baucau
baucau, mak
mak, estudante
estudante, ida
ida, ema
ema, baucau
baucau, duni
duni, estuda
estuda, iha
iha, instituto
instituto, ciências
ciências, de
de, saúde
saúde, iha
iha, baucau
baucau, nia
nia, hela
hela, iha
iha, aldeia
aldeia, kaibuilale
kaibuilale, suku
suku, kaibada
kaibada, baukau
baukau, villa
villa, iha
iha, dili
dili, nia
nia, hela
hela, iha
iha, aldeia
aldeia, fomento
fomento, iii
iii, suku
suku, kumoro
kumoro, kazu
kazu, pozitivu
pozitivu, ne’e
ne’e, nia
nia, sai
sai, hosi
hosi, dili
dili, ba
ba, baucau
baucau, iha
iha, dia
dia, marsu
marsu, sae
sae, mikrolet
mikrolet, ida
ida, ho
ho, ema
ema, lubuk
lubuk, ida
ida, esplika
esplika, rui
rui, araujo
araujo, liuhosi
liuhosi, konferénsia
konferénsia, imprensa
imprensa, nia
nia, informa
informa, mós
mós, katak
katak, pasiente
pasiente, ne’e
ne’e, iha
iha, dili
dili, hela
hela, ho
ho, nia
nia, família
família, rasik
rasik, no
no, ema
ema, ida
ida, iha
iha, família
família, ne’e
ne’e, iha
iha, kontaktu
kontaktu, besik
besik, mós
mós, ho
ho, ema
ema, balu
balu, ne’ebé
ne’ebé, pozitivu
pozitivu, tiha
tiha, ona
ona, hosi
hosi, aldeia
aldeia, de
de, setembro
setembro, tasi-tolu
tasi-tolu, dili
dili, dili
dili, marsu
marsu, governu
governu, liuhosi
liuhosi, reuniaun
reuniaun, konsellu
konsellu, ministru
ministru, ohin
ohin, iha
iha, ministériu
ministériu, finansas
finansas, dili
dili, aprova
aprova, projetu
projetu, rezolusaun
rezolusaun, ba
ba, estensaun
estensaun, serka
serka, sanitária
sanitária, iha
iha, dili
dili, to’o
to’o, iha
iha, loron
loron, fulan-abril
fulan-abril, tinan
tinan, dezisaun
dezisaun, ne’e
ne’e, konsellu
konsellu, ministru
ministru, foti
foti, hafoin
hafoin, halo
halo, análize
análize, ba
ba, aprezentasaun
aprezentasaun, husi
husi, koordenadór
koordenadór, sira
sira, husi
husi, sentru
sentru, integradu
integradu, jestaun
jestaun, krize
krize, kona-ba
kona-ba, pontu
pontu, situasaun
situasaun, epidemiolójiká
epidemiolójiká, iha
iha, timor-leste
timor-leste, rezolusaun
rezolusaun, governu
governu, nian
nian, mantein
mantein, impozisaun
impozisaun, serka
serka, sanitaria
sanitaria, ne’ebé
ne’ebé, implementa
implementa, ona
ona, iha
iha, konfinamentu
konfinamentu, faze
faze, dahuluk
dahuluk, liu-liu
liu-liu, konfinamentu
konfinamentu, domisiliáriu
domisiliáriu, jerál
jerál, ba
ba, ema
ema, hotu
hotu, ne’ebé
ne’ebé, mak
mak, oras
oras, ne’e
ne’e, daudaun
daudaun, hela
hela, iha
iha, munisípiu
munisípiu, dili
dili, ne’ebé
ne’ebé, kontinua
kontinua, hela
hela, iha
iha, sira
sira, nia
nia, uma
uma, ka
ka, iha
iha, sira
sira, nia
nia, alojamentu
alojamentu, temporáriu
temporáriu, dili
dili, marsu
marsu, ministra
ministra, saúde
saúde, odete
odete, maria
maria, freitas
freitas, belo
belo, halao
halao, enkontru
enkontru, ho
ho, prezidente
prezidente, asosiasaun
asosiasaun, komersiante
komersiante, komunidade
komunidade, xinéza-timoroan
xinéza-timoroan, sigla
sigla, portugés
portugés, acccto
acccto, kathleen
kathleen, gon
gon, alves
alves, iha
iha, sala
sala, gabinete
gabinete, ministra
ministra, palácio
palácio, das
das, cinzas
cinzas, caicoli
caicoli, díli
díli, iha
iha, enkontru
enkontru, ne’e
ne’e, kathleen
kathleen, ho
ho, nia
nia, ekipa
ekipa, husu
husu, ba
ba, ministra
ministra, saúde
saúde, atu
atu, sira
sira, bele
bele, lori
lori, vasina
vasina, sinovax
sinovax, mai
mai, iha
iha, timor-leste
timor-leste, hodi
hodi, fo
fo, ba
ba, sira-nia
sira-nia, komunidade
komunidade, hosi
hosi, parte
parte, xiña
xiña, nian
nian, iha
iha, pandemia
pandemia, ida-ne'e
ida-ne'e, sira
sira, preokupa
preokupa, liu
liu, oinsá
oinsá, mak
mak, sira-nia
sira-nia, komunidade
komunidade, ne'e
ne'e, bele
bele, hetan
hetan, vasina
vasina, entaun
entaun, sira
sira, husu
husu, karik
karik, sira
sira, bele
bele, lori
lori, vasina
vasina, sinovax
sinovax, mai
mai, iha
iha, timor
timor, para
para, bele
bele, fó
fó, ba
ba, sira-nia
sira-nia, komunidade
komunidade, entaun
entaun, ita-nia
ita-nia, resposta
resposta, mak
mak, ne'e
ne'e, ita
ita, hili
hili, astrazeneka
astrazeneka, orsida
orsida, sei
sei, fó
fó, ba
ba, ema
ema, hotu-hotu
hotu-hotu, se
se, mak
mak, tama
tama, iha
iha, kriteria
kriteria, pursentu
pursentu, rua-nulu
rua-nulu, komunidade
komunidade, ne'ebé
ne'ebé, mak
mak, hela
hela, iha
iha, timor
timor, bainhira
bainhira, nia
nia, elezível
elezível, tuir
tuir, kriteria
kriteria, ne'ebé
ne'ebé, mak
mak, iha
iha, hotu-hotu
hotu-hotu, iha
iha, direitu
direitu, la
la, haree
haree, ba
ba, rasa
rasa, no
no, hosi
hosi, rai
rai, ida-ne'eb
ida-ne'eb, esplika
esplika, ministra
ministra, saúde
saúde, tanba
tanba, governu
governu, planu
planu, de’it
de’it, acccto
acccto, hakarak
hakarak, lori
lori, sinovax
sinovax, pursentu
pursentu, ualu-nulu
ualu-nulu, tama
tama, mai
mai, timor
timor, hatan
hatan, ba
ba, ida
ida, ne’e
ne’e, ministra
ministra, saúde
saúde, hateten
hateten, katak
katak, governu
governu, presija
presija, haree
haree, hamutuk
hamutuk, no
no, tetu
tetu, ho
ho, rekomendasaun
rekomendasaun, hosi
hosi, organizasaun
organizasaun, mundiál
mundiál, ba
ba, saúde
saúde, oms
oms, antes
antes, foti
foti, desizaun
desizaun, ba
ba, vasina
vasina, seluk
seluk, ne'ebé
ne'ebé, mak
mak, ita
ita, hakarak
hakarak, lori
lori, mai
mai, timor-leste
timor-leste, dili
dili, marsu
marsu, hafoin
hafoin, halo
halo, tiha
tiha, inspesaun
inspesaun, urjente
urjente, ba
ba, foos
foos, nia
nia, folin
folin, iha
iha, merkadu
merkadu, postu-administrativu
postu-administrativu, same
same, iha
iha, segunda
segunda, ne’e
ne’e, administradór
administradór, munisípiu
munisípiu, manufahi
manufahi, arantes
arantes, isaac
isaac, sarmento
sarmento, hateten
hateten, nia
nia, halo
halo, ona
ona, enkontru
enkontru, ho
ho, komandu
komandu, polísia
polísia, manufahi
manufahi, hodi
hodi, informa
informa, ba
ba, ministru
ministru, administrasaun
administrasaun, estatál
estatál, katak
katak, loja
loja, sira
sira, iha
iha, manufahi
manufahi, bele
bele, hetan
hetan, karta
karta, autorizasaun
autorizasaun, hosi
hosi, komandu
komandu, polísia
polísia, manufahi
manufahi, hodi
hodi, sai
sai, hosi
hosi, manufahi
manufahi, ba
ba, tula
tula, sasán
sasán, nesesidade
nesesidade, bázika
bázika, iha
iha, munisípiu
munisípiu, aileu
aileu, ne’ebé
ne’ebé, nu’udar
nu’udar, fronteira
fronteira, entre
entre, manufahi-dili
manufahi-dili, no
no, la
la, ba
ba, to’o
to’o, dili
dili, administradór
administradór, ne’e
ne’e, dehan
dehan, desizaun
desizaun, refere
refere, aplika
aplika, atu
atu, antesipa
antesipa, estoke
estoke, nesesidade
nesesidade, bázika
bázika, menus
menus, iha
iha, manufahi
manufahi, enkuantu
enkuantu, ba
ba, loja
loja, sira
sira, iha
iha, kapitál
kapitál, dili
dili, nia
nia, esplika
esplika, katak
katak, sira
sira, transporta
transporta, de’it
de’it, sasán
sasán, nesesidade
nesesidade, bázika
bázika, ba
ba, to’o
to’o, aileu
aileu, maibé
maibé, sira
sira, mós
mós, tenke
tenke, hetan
hetan, karta
karta, autorizasaun
autorizasaun, hosi
hosi, sentru
sentru, integradu
integradu, jestaun
jestaun, krize
krize, iha
iha, dili
dili, nune’e
nune’e, iha
iha, segunda
segunda, ne’e
ne’e, loja
loja, balu
balu, trata
trata, ona
ona, karta
karta, autorizasaun
autorizasaun, iha
iha, komandu
