id,Label,tf,df,tdf,stopword
369,vindos,1,1,1,0
370,vindo,16,16,256,0
371,vinde,7,7,49,0
372,vindas,3,3,9,0
373,vinda,22,22,484,0
374,vinagre,1,1,1,0
375,vimos,46,45,2070,0
376,vim,16,13,208,0
377,vilarejos,4,2,8,0
378,vilarejo,3,3,9,0
379,vila,2,2,4,0
380,vil,1,1,1,0
381,viii,2,2,4,0
382,vii,2,2,4,0
383,vigílias,1,1,1,0
384,vigília,4,4,16,0
385,vigorosamente,5,4,20,0
386,vigor,7,7,49,0
387,vigilância,2,2,4,0
388,vigilantes,20,20,400,0
389,vigilante,6,6,36,0
390,vigiavam,3,3,9,0
391,vigiava,1,1,1,0
392,vigiasse,2,2,4,0
393,vigias,4,4,16,0
394,vigiar,1,1,1,0
395,vigiamos,2,2,4,0
396,vigiam,1,1,1,0
397,vigiai,1,1,1,0
398,vigia,11,11,121,0
399,vieste,4,4,16,0
400,viesse,4,4,16,0
401,vieres,1,1,1,0
402,vierem,1,1,1,0
403,vieram,40,40,1600,0
404,vier,20,20,400,0
405,viemos,9,9,81,0
406,vidro,2,2,4,0
407,videntes,1,1,1,0
408,vidente,1,1,1,0
409,videira,7,7,49,0
410,vidas,9,9,81,0
411,vida,1057,963,1017891,0
412,victórias,1,1,1,0
413,victória,1,1,1,0
414,victoria,1,1,1,0
415,viciar,1,1,1,0
416,viciado,1,1,1,0
417,vias,1,1,1,0
418,vianda,1,1,1,0
419,viamse,1,1,1,0
420,viam,15,15,225,0
421,viajávamos,2,2,4,0
422,viajou,6,6,36,0
423,viajavam,2,2,4,0
424,viajava,3,3,9,0
425,viajaremos,1,1,1,0
426,viajar,12,10,120,0
427,viajantes,5,5,25,0
428,viajante,7,7,49,0
429,viajando,1,1,1,0
430,viajamos,3,3,9,0
431,viajado,3,3,9,0
432,viaja,2,2,4,0
433,viagens,5,5,25,0
434,viagem,29,29,841,0
435,via,10,10,100,0
436,vi,59,55,3245,0
437,vezes,250,231,57750,0
438,vez,344,324,111456,0
439,veterano,2,2,4,0
440,vestígio,1,1,1,0
441,vestuário,4,4,16,0
442,vestiu,2,2,4,0
443,vestirá,4,4,16,0
444,vestiram,1,1,1,0
445,vestir,25,25,625,0
446,vestindo,1,1,1,0
447,vestimos,1,1,1,0
448,vestidos,6,6,36,0
449,vestido,9,9,81,0
450,vestidas,1,1,1,0
451,vestida,2,2,4,0
452,vestia,3,3,9,0
453,vestes,9,8,72,0
454,vestem,1,1,1,0
455,veste,7,7,49,0
456,vespas,1,1,1,0
457,verónica,3,2,6,0
458,verídicas,1,1,1,0
459,verão,21,21,441,0
460,verás,1,1,1,0
461,verá,5,5,25,0
462,versículos,24,22,528,0
463,versículo,19,17,323,0
464,versão,1,1,1,0
465,verrer,1,1,1,0
466,vermos,2,2,4,0
467,vermes,2,2,4,0
468,vermelhos,1,1,1,0
469,vermelho,7,6,42,0
470,vermelhas,2,2,4,0
471,verme,2,2,4,0
472,verifique,1,1,1,0
473,verificarem,1,1,1,0
474,verificar,2,2,4,0
475,verificam,1,1,1,0
476,verificado,1,1,1,0
477,veria,2,2,4,0
478,vergonhoso,2,2,4,0
479,vergonhosas,2,2,4,0
480,vergonha,18,18,324,0
481,vergaram,2,2,4,0
482,veremos,15,15,225,0
483,verem,10,10,100,0
484,vereis,3,3,9,0
485,veredas,2,2,4,0
486,verduras,1,1,1,0
487,verdes,3,3,9,0
488,verde,6,6,36,0
489,verdades,32,31,992,0
490,verdadeiros,43,40,1720,0
491,verdadeiro,84,79,6636,0
492,verdadeiras,7,7,49,0
493,verdadeiramente,11,11,121,0
494,verdadeira,63,63,3969,0
495,verdade,492,465,228780,0
496,verbo,5,5,25,0
497,verbais,1,1,1,0
498,veracidade,1,1,1,0
499,ver,376,365,137240,0
500,venças,1,1,1,0
501,ventres,1,1,1,0
502,ventre,15,14,210,0
503,ventos,14,14,196,0
504,vento,28,26,728,0
505,vens,2,2,4,0
506,venho,2,2,4,0
507,venhamos,2,2,4,0
508,venham,19,19,361,0
509,venha,36,34,1224,0
510,venezuela,2,2,4,0
511,venerem,1,1,1,0
512,venerados,1,1,1,0
513,venerada,1,1,1,0
514,venenosos,1,1,1,0
515,venenosas,1,1,1,0
516,venenosa,2,2,4,0
517,veneno,3,3,9,0
518,veneer,1,1,1,0
519,venecia,6,4,24,0
520,vendo,38,38,1444,0
521,vendilhões,1,1,1,0
522,vendidos,1,1,1,0
523,vendido,12,12,144,0
524,vendida,2,2,4,0
525,vendiam,11,9,99,0
526,vendia,2,2,4,0
527,vendeu,1,1,1,0
528,vendestes,1,1,1,0
529,venderem,1,1,1,0
530,venderam,8,8,64,0
531,vender,10,10,100,0
532,vendem,2,2,4,0
533,vendedores,3,3,9,0
534,vende,8,8,64,0
535,vendaval,4,4,16,0
536,vendam,1,1,1,0
537,venda,5,5,25,0
538,vencimento,1,1,1,0
539,vencidos,8,8,64,0
540,vencido,6,6,36,0
541,vencia,1,1,1,0
542,venci,3,3,9,0
543,venceu,20,20,400,0
544,vencesse,4,4,16,0
545,vencerão,3,3,9,0
546,vencermos,2,2,4,0
547,venceram,9,9,81,0
548,vencer,73,70,5110,0
549,vencendo,3,3,9,0
550,vencemos,1,1,1,0
551,vencedor,2,2,4,0
552,vence,6,6,36,0
553,vemos,44,43,1892,0
554,vem,137,128,17536,0
555,velozes,1,1,1,0
556,veloz,1,1,1,0
557,velino,1,1,1,0
558,velhos,14,14,196,0
559,velho,34,33,1122,0
560,velhice,12,12,144,0
561,velhas,6,6,36,0
562,velha,14,12,168,0
563,velas,1,1,1,0
564,vejo,12,11,132,0
565,vejamos,9,9,81,0
566,vejam,51,47,2397,0
567,veja,135,135,18225,0
568,veio,83,79,6557,0
569,veia,1,1,1,0
570,vegetação,7,7,49,0
571,vegetais,1,1,1,0
572,vega,1,1,1,0
573,veem,19,19,361,0
574,vedes,4,3,12,0
575,vede,1,1,1,0
576,vazio,2,2,4,0
577,vazias,6,6,36,0
578,vazia,4,4,16,0
579,vazaram,1,1,1,0
580,vasos,7,7,49,0
581,vaso,6,5,30,0
582,vasilha,1,1,1,0
583,varro,1,1,1,0
584,varrido,1,1,1,0
585,varrida,2,2,4,0
586,varreu,1,1,1,0
587,varrer,2,2,4,0
588,varrendo,1,1,1,0
589,varre,2,2,4,0
590,variedade,5,5,25,0
591,variar,1,1,1,0
592,variam,1,1,1,0
593,variados,3,3,9,0
594,variadas,2,2,4,0
595,variada,1,1,1,0
596,vara,13,13,169,0
597,vapor,2,2,4,0
598,vantajoso,2,2,4,0
599,vantagens,4,4,16,0
600,vantagem,9,9,81,0
601,vanessa,2,1,2,0
602,van,1,1,1,0
603,vamos,392,373,146216,0
604,valência,2,2,4,0
605,valorizou,2,2,4,0
606,valorizemos,2,2,4,0
607,valorizava,1,1,1,0
608,valorizarmos,1,1,1,0
609,valorizar,4,4,16,0
610,valorizamos,3,3,9,0
611,valorizam,1,1,1,0
612,valorizadas,1,1,1,0
613,valorizada,1,1,1,0
614,valoriza,7,7,49,0
615,valores,2,2,4,0
616,valor,120,118,14160,0
617,valiosos,8,8,64,0
618,valioso,14,14,196,0
619,valiosas,8,8,64,0
620,valiosa,7,7,49,0
621,validação,1,1,1,0
622,validado,7,7,49,0
623,valia,4,4,16,0
