id,Label,tf,df,tdf
681,jestaun,75,1,75
682,oferese,23,1,23
683,distribui,9,1,9
684,serbísu,1,1,1
685,jerál,110,1,110
686,tulun,27,1,27
687,sudeste,7,1,7
688,freitas,36,1,36
689,depende,10,1,10
690,japaun,20,1,20
691,ai-moruk,15,1,15
692,ou,5,1,5
693,truckbox,2,1,2
694,rurál,30,1,30
695,agency,4,1,4
696,ekipamentu,22,1,22
697,tutan,3,1,3
698,cooperation,4,1,4
699,kuartél,12,1,12
700,autónomo,1,1,1
701,termu,4,1,4
702,díli,32,1,32
703,tamio,1,1,1
704,apoia,44,1,44
705,shinya,1,1,1
706,odete,38,1,38
707,madre,2,1,2
708,bá,3,1,3
709,japan,3,1,3
710,lori,126,1,126
711,ida-ne’e,6,1,6
712,apoiu,135,1,135
713,médikamentu,1,1,1
714,transporte,57,1,57
715,pasifiku,1,1,1
716,distrubuisaun,1,1,1
717,problema,71,1,71
718,turiskai,14,1,14
719,eleitu,7,1,7
720,aplika,38,1,38
721,monitorizasaun,9,1,9
722,salaun,16,1,16
723,cesarino,1,1,1
724,sejd,29,1,29
725,cefobom,11,1,11
726,totál,115,1,115
727,boaventura,7,1,7
728,aproveita,18,1,18
729,maun-fahe,2,1,2
730,costa,50,1,50
731,fatuberliu,7,1,7
732,nune'e,18,1,18
733,abertura,20,1,20
734,kreatividade,12,1,12
735,hatutan,17,1,17
736,da,116,1,116
737,kompostu,52,1,52
738,eskola,107,1,107
739,didi'ak,3,1,3
740,proposta,23,1,23
741,katólika,23,1,23
742,husu,291,1,291
743,solusaun,22,1,22
744,buka,60,1,60
745,avaliasaun,4,1,4
746,sekundária,15,1,15
747,antoninho,3,1,3
748,joventude,4,1,4
749,desportu,30,1,30
750,loro-loron,31,1,31
751,sira-nia,229,1,229
752,importante,51,1,51
753,fali,118,1,118
754,oportunidade,29,1,29
755,jerente,1,1,1
756,relatóriu,7,1,7
757,orsamentu,95,1,95
758,manufahi,172,1,172
759,sarmento,18,1,18
760,doutel,2,1,2
761,foinsa'e,13,1,13
762,matéria,10,1,10
763,dom,27,1,27
764,alas,9,1,9
765,na'in-,9,1,9
766,filomenu,1,1,1
767,sia,2,1,2
768,nulu-resin-neen,1,1,1
769,fábrika,10,1,10
770,atus-ida-lima,1,1,1
771,komportamentu,5,1,5
772,rua-nulu-resin,2,1,2
773,sefope-dnee,1,1,1
774,fasíl,1,1,1
775,nulu-resin-rua,1,1,1
776,sees-an,1,1,1
777,re-entry,3,1,3
778,fila,56,1,56
779,alerta,6,1,6
780,súl,46,1,46
781,tolu,59,1,59
782,kontrola,32,1,32
783,peskas,3,1,3
784,entervista,1,1,1
785,remata,60,1,60
786,korea,53,1,53
787,hitu-nulu-resin,1,1,1
788,sanulu-resin-haat,3,1,3
789,tanbá,1,1,1
790,atus-rua-tolu,1,1,1
791,esplika,143,1,143
792,neen,23,1,23
793,kontratu,24,1,24
794,rekursu,25,1,25
795,baukau,60,1,60
796,ativu,33,1,33
797,alunu,5,1,5
798,vemasse,1,1,1
799,manual,1,1,1
800,bahasahe,4,1,4
801,untaet,2,1,2
802,kondisaun,98,1,98
803,janela,2,1,2
804,sala,35,1,35
805,kompletu,21,1,21
806,manorin,5,1,5
807,menus,45,1,45
808,voluntáriu,7,1,7
809,ebf,5,1,5
810,ensinu,69,1,69
811,kadeira,5,1,5
812,ajudu,4,1,4
813,aat,39,1,39
814,entrevista,9,1,9
815,koordenadór,23,1,23
816,aula,48,1,48
817,seidauk,139,1,139
818,silva,37,1,37
819,lokaliza,9,1,9
820,edukasaun,40,1,40
821,osoala,2,1,2
822,beibeik,17,1,17
823,meza,5,1,5
824,permanente,10,1,10
825,armáriu,2,1,2
826,rezultadu,48,1,48
827,knaar-fatin,35,1,35
828,karik,49,1,49
829,odamatan,5,1,5
830,aprendizajen,10,1,10
831,atensaun,36,1,36
832,profesór,12,1,12
833,estudante,180,1,180
834,báziku,12,1,12
835,laiha,110,1,110
836,manuál,4,1,4
837,anacleto,3,1,3
838,grave,12,1,12
839,filiál,2,1,2
840,antigu,3,1,3
841,enjeñaria,11,1,11
842,defeza,51,1,51
843,tavares,2,1,2
844,bee-moos,55,1,55
845,f-fdtl,68,1,68
846,aidaba-leten,1,1,1
847,ámbitu,11,1,11
